iter	Passed	Remaining
400	28384	42399
401	28455	42329
402	28548	42291
403	28618	42219
404	28704	42170
405	28781	42108
406	28855	42042
407	28914	41953
408	28980	41876
409	29041	41791
410	29104	41708
411	29181	41647
412	29253	41578
413	29329	41514
414	29412	41460
415	29476	41380
416	29541	41300
417	29606	41222
418	29675	41149
419	29742	41072
420	29805	40991
421	29884	40931
422	29956	40863
423	30026	40790
424	30084	40703
425	30154	40630
426	30220	40552
427	30283	40472
428	30354	40402
429	30439	40350
430	30521	40293
431	30606	40241
432	30686	40183
433	30756	40110
434	30832	40046
435	30915	39991
436	30999	39937
437	31080	39879
438	31161	39821
439	31226	39743
440	31289	39662
441	31364	39595
442	31462	39558
443	31559	39520
444	31637	39457
445	31706	39384
446	31771	39305
447	31835	39226
448	31916	39167
449	31984	39092
450	32054	39019
451	32124	38947
452	32199	38881
453	32266	38805
454	32326	38720
455	32395	38646
456	32463	38573
457	32526	38491
458	32593	38416
459	32661	38341
460	32739	38278
461	32795	38190
462	32860	38112
463	32931	38041
464	33008	37977
465	33086	37914
466	33177	37866
467	33264	37813
468	33353	37762
469	33460	37731
470	33572	37706
471	33666	37660
472	33744	37597
473	33819	37529
474	33893	37460
475	33971	37397
476	34041	37324
477	34112	37252
478	34181	37178
479	34253	37107
480	34331	37043
481	34418	36989
482	34487	36915
483	34566	36851
484	34636	36778
485	34710	36710
486	34782	36639
487	34841	36555
488	34907	36478
489	34973	36401
490	35064	36349
491	35153	36297
492	35242	36243
493	35317	36175
494	35395	36110
495	35461	36033
496	35524	35953
497	35597	35883
498	35662	35805
499	35726	35726
500	35793	35650
501	35852	35567
502	35918	35490
503	35984	35412
504	36059	35345
505	36119	35262
506	36198	35198
507	36278	35135
508	36342	35057
509	36403	34976
510	36478	34907
511	36569	34855
512	36643	34786
513	36725	34724
514	36814	34670
515	36895	34607
516	36971	34539
517	37045	34471
518	37118	34400
519	37200	34338
520	37276	34271
521	37348	34200
522	37427	34135
523	37505	34070
524	37593	34013
525	37668	33944
526	37751	33882
527	37818	33807
528	37895	33740
529	37972	33673
530	38049	33606
531	38166	33575
532	38311	33567
533	38436	33542
534	38514	33475
535	38590	33406
536	38663	33335
537	38752	33278
538	38856	33233
539	39023	33241
540	39210	33267
541	39329	33234
542	39466	33216
543	39606	33199
544	39773	33205
545	39896	33173
546	39976	33107
547	40064	33045
548	40141	32975
549	40215	32903
550	40292	32833
551	40391	32781
552	40473	32715
553	40541	32637
554	40616	32566
555	40683	32488
556	40744	32405
557	40821	32335
558	40900	32266
559	40966	32187
560	41028	32106
561	41111	32040
562	41196	31976
563	41271	31905
564	41333	31823
565	41419	31759
566	41513	31702
567	41584	31627
568	41654	31551
569	41730	31481
570	41800	31405
571	41896	31348
572	41975	31280
573	42062	31217
574	42131	31140
575	42211	31072
576	42283	30998
577	42374	30937
